,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
25026,8044754333.0,,2.0,0.4,0.0,4261.0,-1.0,-1.0,70.0,0.0,1.0,11.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,62.0,0.0,-1.0,-1.0,-0.2,-1.0,0.0,0.0,1740343.0,30.0,0.14,
25027,6684258137.0,,0.0,0.2,0.6,1875.0,1.0,-1.0,2.0,1.0,1.0,38.0,-1.0,2.0,6.0,-1.0,-1.0,-1.0,25.0,0.0,-1.0,-1.0,-0.6,0.2,0.0,1.0,1275192.0,-1.0,0.0,
25028,8571345777.0,,0.0,0.2,0.2,890.0,-1.0,-1.0,1.0,1.0,1.0,62.0,-1.0,2.0,2.0,-1.0,-1.0,1.0,61.0,0.0,-1.0,-1.0,-0.6,-0.6,0.0,1.0,1446736.0,-1.0,0.0,
25029,2153297900.0,,0.0,0.9,0.1,847.0,1.0,-1.0,1.0,1.0,1.0,23.0,-1.0,9.0,1.0,-1.0,-1.0,1.0,48.0,0.0,-1.0,-1.0,0.8,-0.8,1.0,1.0,1900203.0,-1.0,0.0,
25030,6861165173.0,,2.0,0.6,0.0,3291.0,1.0,-1.0,40.0,0.0,1.0,11.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,74.0,0.0,-1.0,-1.0,0.2,-1.0,0.0,0.0,1699366.0,20.0,0.3,
25031,6684258137.0,,0.0,0.2,0.4,1544.0,1.0,-1.0,2.0,1.0,1.0,39.0,-1.0,2.0,4.0,-1.0,-1.0,1.0,26.0,0.0,-1.0,-1.0,-0.6,-0.2,0.0,0.0,1279572.0,-1.0,0.0,
25032,8571345777.0,,0.0,0.2,0.0,1023.0,1.0,-1.0,1.0,1.0,1.0,63.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,62.0,0.0,-1.0,-1.0,-0.6,-1.0,0.0,1.0,1450137.0,-1.0,0.0,
25033,2153297900.0,,0.0,0.9,0.2,1687.0,1.0,1.0,1.0,1.0,1.0,24.0,-1.0,9.0,2.0,-1.0,-1.0,-1.0,49.0,0.0,-1.0,-1.0,0.8,-0.6,0.0,0.0,1903552.0,-1.0,0.0,
25034,6617780109.0,,0.0,0.4,0.8,325624.0,1.0,-1.0,2.0,1.0,1.0,89.0,-1.0,4.0,8.0,-1.0,-1.0,-1.0,32.0,0.0,-1.0,-1.0,-0.2,0.6,0.0,1.0,1227967.0,-1.0,0.0,
25035,8571345777.0,,0.0,0.2,0.8,893.0,1.0,-1.0,2.0,1.0,1.0,64.0,-1.0,2.0,8.0,-1.0,-1.0,1.0,63.0,0.0,-1.0,-1.0,-0.6,0.6,0.0,0.0,1453669.0,-1.0,0.0,
