,sub_id,phase,p1,p2,rtime,out,cfout,cho,corr,trial,cond,chose_right,rew,sess,op1,op2,ev1,ev2,catch,reversed
13524,597981193.0,LE,0.6,0.4,811.0,1.0,-1.0,1.0,1.0,79.0,1.0,1.0,44.0,0.0,E,E,0.2,-0.2,0.0,1.0
13525,7252118082.0,LE,0.9,0.1,617.0,1.0,-1.0,1.0,1.0,112.0,0.0,0.0,57.0,0.0,E,E,0.8,-0.8,0.0,0.0
13526,3725083710.0,LE,0.9,0.1,704.0,1.0,-1.0,1.0,1.0,80.0,0.0,1.0,17.0,0.0,E,E,0.8,-0.8,0.0,1.0
13527,5982509183.0,LE,0.6,0.4,417.0,1.0,-1.0,1.0,1.0,101.0,1.0,1.0,64.0,0.0,E,E,0.2,-0.2,0.0,1.0
13528,90015198.0,ES,0.6,0.6,4071.0,1.0,-1.0,1.0,1.0,2.0,-1.0,0.0,63.0,0.0,E,S,0.2,0.2,0.0,0.0
13529,9634284919.0,LE,0.6,0.4,612.0,1.0,1.0,1.0,1.0,49.0,1.0,1.0,-2.0,0.0,E,E,0.2,-0.2,0.0,1.0
13530,595508711.0,LE,0.6,0.4,685.0,1.0,1.0,1.0,1.0,95.0,1.0,1.0,44.0,0.0,E,E,0.2,-0.2,0.0,1.0
13531,4088027894.0,LE,0.6,0.4,896.0,-1.0,1.0,1.0,1.0,115.0,1.0,0.0,74.0,0.0,E,E,0.2,-0.2,0.0,0.0
13532,8073303234.0,LE,0.6,0.4,945.0,1.0,1.0,1.0,1.0,47.0,1.0,0.0,-4.0,0.0,E,E,0.2,-0.2,0.0,0.0
13533,7012446415.0,0.0,0.7,0.1,1058.0,1.0,-1.0,1.0,1.0,47.0,-1.0,0.0,56.0,0.0,0.0,0.0,0.4,-0.8,1.0,0.0
13534,648426026.0,LE,0.9,0.1,964.0,1.0,-1.0,1.0,1.0,75.0,0.0,0.0,30.0,0.0,E,E,0.8,-0.8,0.0,0.0
13535,2243562358.0,LE,0.9,0.1,790.0,1.0,-1.0,1.0,1.0,75.0,0.0,0.0,28.0,0.0,E,E,0.8,-0.8,0.0,0.0
13536,7065172092.0,LE,0.6,0.4,670.0,-1.0,-1.0,2.0,0.0,55.0,1.0,0.0,0.0,0.0,E,E,0.2,-0.2,0.0,1.0
13537,7663145935.0,LE,0.9,0.1,686.0,-1.0,-1.0,1.0,1.0,8.0,0.0,0.0,3.0,0.0,E,E,0.8,-0.8,0.0,0.0
13538,8454264799.0,LE,0.9,0.1,509.0,1.0,-1.0,1.0,1.0,95.0,0.0,1.0,-2.0,0.0,E,E,0.8,-0.8,0.0,1.0
13539,6535091015.0,LE,0.6,0.4,848.0,1.0,-1.0,1.0,1.0,67.0,1.0,0.0,48.0,0.0,E,E,0.2,-0.2,0.0,0.0
13540,368457039.0,ES,0.6,1.0,942.0,1.0,-1.0,2.0,1.0,26.0,-1.0,1.0,67.0,0.0,E,S,0.2,1.0,0.0,0.0
13541,3654455906.0,LE,0.9,0.1,453.0,1.0,-1.0,1.0,1.0,46.0,0.0,0.0,37.0,0.0,E,E,0.8,-0.8,0.0,0.0
13542,2943081445.0,LE,0.9,0.1,804.0,1.0,-1.0,1.0,1.0,30.0,0.0,1.0,13.0,0.0,E,E,0.8,-0.8,0.0,1.0
13543,8424328749.0,ES,0.9,0.7,951.0,1.0,1.0,2.0,0.0,3.0,-1.0,0.0,74.0,0.0,E,S,0.8,0.4,0.0,1.0
13544,2192082400.0,LE,0.9,0.1,1424.0,1.0,-1.0,1.0,1.0,56.0,0.0,1.0,37.0,0.0,E,E,0.8,-0.8,0.0,1.0
13545,6629227080.0,LE,0.6,0.4,1945.0,-1.0,-1.0,2.0,0.0,57.0,1.0,0.0,-8.0,0.0,E,E,0.2,-0.2,0.0,1.0
13546,2411291062.0,LE,0.9,0.1,2169.0,1.0,-1.0,1.0,1.0,16.0,0.0,0.0,9.0,0.0,E,E,0.8,-0.8,0.0,0.0
13547,1404839795.0,LE,0.6,0.4,889.0,1.0,1.0,1.0,1.0,98.0,1.0,1.0,65.0,0.0,E,E,0.2,-0.2,0.0,1.0
13548,2872656356.0,LE,0.9,0.1,706.0,1.0,-1.0,1.0,1.0,107.0,0.0,1.0,40.0,0.0,E,E,0.8,-0.8,0.0,1.0
13549,6959402086.0,LE,0.6,0.4,570.0,1.0,-1.0,1.0,1.0,96.0,1.0,1.0,23.0,0.0,E,E,0.2,-0.2,0.0,1.0
13550,5804281261.0,ES,0.9,0.7,191.0,-1.0,-1.0,2.0,0.0,6.0,-1.0,1.0,-11.0,0.0,E,S,0.8,0.4,0.0,0.0
13551,7985901645.0,LE,0.9,0.1,820.0,1.0,-1.0,1.0,1.0,112.0,0.0,0.0,55.0,0.0,E,E,0.8,-0.8,0.0,0.0
13552,7637711366.0,LE,0.9,0.1,979.0,1.0,-1.0,1.0,1.0,9.0,0.0,0.0,0.0,-1.0,E,E,0.8,-0.8,0.0,0.0
13553,5153081306.0,ES,0.1,0.5,2301.0,1.0,-1.0,2.0,1.0,1.0,-1.0,1.0,66.0,0.0,E,S,-0.8,0.0,0.0,0.0
13554,582861850.0,ES,0.4,0.1,907.0,-1.0,-1.0,1.0,1.0,32.0,-1.0,1.0,7.0,0.0,E,S,-0.2,-0.8,0.0,1.0
13555,7547978745.0,0.0,0.6,0.1,918.0,1.0,-1.0,1.0,1.0,23.0,-1.0,1.0,52.0,0.0,0.0,0.0,0.2,-0.8,1.0,1.0
13556,550272957.0,LE,0.6,0.4,10185.0,-1.0,1.0,2.0,0.0,79.0,1.0,1.0,44.0,0.0,E,E,0.2,-0.2,0.0,0.0
13557,1355082117.0,SP,0.4,-1.0,4217.0,-1.0,-1.0,70.0,0.0,2.0,-1.0,-1.0,47.0,0.0,1.0,-1.0,-0.2,-1.0,0.0,0.0
13558,621642223.0,LE,0.6,0.4,17329.0,-1.0,-1.0,1.0,1.0,57.0,1.0,0.0,8.0,0.0,E,E,0.2,-0.2,0.0,0.0
13559,9725707173.0,ES,0.9,0.2,885.0,1.0,-1.0,1.0,1.0,40.0,-1.0,0.0,49.0,0.0,E,S,0.8,-0.6,0.0,0.0
13560,2415969836.0,LE,0.9,0.1,796.0,1.0,-1.0,1.0,1.0,84.0,0.0,1.0,31.0,0.0,E,E,0.8,-0.8,0.0,1.0
