subject,exp_num,C,modality
79,7,0.8828125,ED
79,7,0.875,EE
80,7,0.65625,ED
80,7,0.696428571428571,EE
81,7,0.796875,ED
81,7,0.803571428571429,EE
82,7,0.75,ED
82,7,0.767857142857143,EE
83,7,0.5,ED
83,7,0.607142857142857,EE
84,7,0.5,ED
84,7,0.571428571428571,EE
85,7,0.6875,ED
85,7,0.794642857142857,EE
86,7,0.671875,ED
86,7,0.830357142857143,EE
87,7,0.828125,ED
87,7,0.767857142857143,EE
88,7,0.9609375,ED
88,7,0.9375,EE
89,7,0.53125,ED
89,7,0.517857142857143,EE
90,7,0.78125,ED
90,7,0.830357142857143,EE
91,7,0.3828125,ED
91,7,0.446428571428571,EE
92,7,0.609375,ED
92,7,0.696428571428571,EE
93,7,0.75,ED
93,7,0.875,EE
94,7,0.4921875,ED
94,7,0.571428571428571,EE
95,7,0.734375,ED
95,7,0.785714285714286,EE
96,7,0.515625,ED
96,7,0.669642857142857,EE
97,7,0.53125,ED
97,7,0.714285714285714,EE
98,7,0.6328125,ED
98,7,0.794642857142857,EE
99,7,0.6640625,ED
99,7,0.785714285714286,EE
100,7,0.4765625,ED
100,7,0.517857142857143,EE
101,7,0.59375,ED
101,7,0.660714285714286,EE
102,7,0.546875,ED
102,7,0.642857142857143,EE
103,7,0.6328125,ED
103,7,0.794642857142857,EE
104,7,0.546875,ED
104,7,0.6875,EE
105,7,0.9609375,ED
105,7,0.866071428571429,EE
106,7,0.9609375,ED
106,7,0.839285714285714,EE
107,7,0.5,ED
107,7,0.428571428571429,EE
108,7,0.53125,ED
108,7,0.517857142857143,EE
109,7,0.53125,ED
109,7,0.767857142857143,EE
110,7,0.75,ED
110,7,0.794642857142857,EE
111,7,0.4921875,ED
111,7,0.580357142857143,EE
112,7,0.828125,ED
112,7,0.803571428571429,EE
113,7,0.5703125,ED
113,7,0.758928571428571,EE
114,7,0.6640625,ED
114,7,0.741071428571429,EE
115,7,0.484375,ED
115,7,0.544642857142857,EE
116,7,0.5,ED
116,7,0.526785714285714,EE
117,7,0.6328125,ED
117,7,0.830357142857143,EE
118,7,0.5234375,ED
118,7,0.535714285714286,EE
119,7,0.5859375,ED
119,7,0.607142857142857,EE
120,7,0.796875,ED
120,7,0.857142857142857,EE
121,7,0.484375,ED
121,7,0.526785714285714,EE
122,7,0.8359375,ED
122,7,0.794642857142857,EE
123,7,0.78125,ED
123,7,0.830357142857143,EE
124,7,0.8203125,ED
124,7,0.848214285714286,EE
125,7,0.53125,ED
125,7,0.660714285714286,EE
126,7,0.5234375,ED
126,7,0.633928571428571,EE
127,7,0.7421875,ED
127,7,0.732142857142857,EE
128,7,0.7265625,ED
128,7,0.6875,EE
129,7,0.921875,ED
129,7,0.839285714285714,EE
130,7,0.5859375,ED
130,7,0.767857142857143,EE
131,7,0.7734375,ED
131,7,0.866071428571429,EE
132,7,0.53125,ED
132,7,0.723214285714286,EE
133,7,0.6328125,ED
133,7,0.741071428571429,EE
134,7,0.4921875,ED
134,7,0.5625,EE
135,7,0.4609375,ED
135,7,0.535714285714286,EE
136,7,0.515625,ED
136,7,0.491071428571429,EE
137,7,0.859375,ED
137,7,0.821428571428571,EE
