subject,exp_num,RT,p,modality
15,5,1157,0.4,ED_e
15,5,1247,0.4,EE
15,5,1212,0.6,ED_e
15,5,2268,0.6,EE
15,5,1185,0.7,ED_e
15,5,1659,0.7,EE
15,5,1205,0.8,ED_e
15,5,1845,0.8,EE
15,5,1878,0.9,ED_e
15,5,1540.5,0.9,EE
16,5,1344,0,ED_d
16,5,1429.5,0.1,ED_d
16,5,1790,0.2,ED_d
16,5,1431,0.3,ED_d
16,5,1643,0.4,ED_d
16,5,2187.5,0.5,ED_d
16,5,1792,0.6,ED_d
16,5,1686.5,0.7,ED_d
16,5,1384.5,0.8,ED_d
16,5,1349.5,0.9,ED_d
16,5,1185,1,ED_d
16,5,1667,0.1,ED_e
16,5,1763,0.1,EE
16,5,1457,0.2,ED_e
16,5,2003,0.2,EE
16,5,1336,0.3,ED_e
16,5,1971.5,0.3,EE
16,5,1439,0.4,ED_e
16,5,3749.5,0.4,EE
16,5,1473,0.6,ED_e
16,5,NaN,0.6,EE
16,5,1597,0.7,ED_e
16,5,1232.5,0.7,EE
16,5,1497,0.8,ED_e
16,5,1383.5,0.8,EE
16,5,1940,0.9,ED_e
16,5,1819,0.9,EE
17,5,1041,0,ED_d
17,5,1024,0.1,ED_d
17,5,1015,0.2,ED_d
17,5,1245,0.3,ED_d
17,5,1289.5,0.4,ED_d
17,5,1272,0.5,ED_d
17,5,852,0.6,ED_d
17,5,850.5,0.7,ED_d
17,5,863.5,0.8,ED_d
17,5,958.5,0.9,ED_d
17,5,785,1,ED_d
17,5,1136,0.1,ED_e
17,5,NaN,0.1,EE
17,5,967,0.2,ED_e
17,5,1017.5,0.2,EE
17,5,1017,0.3,ED_e
17,5,1527,0.3,EE
17,5,1014,0.4,ED_e
17,5,3128,0.4,EE
17,5,964,0.6,ED_e
17,5,840,0.6,EE
17,5,987,0.7,ED_e
17,5,855,0.7,EE
17,5,933,0.8,ED_e
17,5,1252,0.8,EE
17,5,1123,0.9,ED_e
17,5,1358.5,0.9,EE
18,5,893,0,ED_d
18,5,1062,0.1,ED_d
18,5,1172,0.2,ED_d
18,5,1009,0.3,ED_d
18,5,733,0.4,ED_d
18,5,1149.5,0.5,ED_d
18,5,841.5,0.6,ED_d
18,5,680.5,0.7,ED_d
18,5,967,0.8,ED_d
18,5,870,0.9,ED_d
18,5,741,1,ED_d
18,5,1257,0.1,ED_e
18,5,1210,0.1,EE
18,5,1086,0.2,ED_e
18,5,1319,0.2,EE
