subject,exp_num,RT,modality
117,6,2286,heur
117,6,2774,le
117,6,2156.5,both
117,6,2561,none
118,6,1374.5,heur
118,6,1757,le
118,6,1340.5,both
118,6,1730,none
119,6,1570,heur
119,6,1736,le
119,6,1217.5,both
119,6,1881,none
120,6,1412,heur
120,6,1823,le
120,6,1415,both
120,6,1447,none
121,6,3346,heur
121,6,1350.5,le
121,6,1324,both
121,6,3525,none
122,6,1402,heur
122,6,1659,le
122,6,1154,both
122,6,1686,none
123,6,2620,heur
123,6,3201,le
123,6,1847,both
123,6,6075,none
124,6,2222.5,heur
124,6,NaN,le
124,6,2219,both
124,6,1104,none
125,6,1892,heur
125,6,2430.5,le
125,6,1646,both
125,6,1395,none
126,6,1103,heur
126,6,1303,le
126,6,1049,both
126,6,1582,none
127,6,1396,heur
127,6,2020.5,le
127,6,1082,both
127,6,3626,none
128,6,1333,heur
128,6,1492,le
128,6,1074.5,both
128,6,1508.5,none
129,6,1730,heur
129,6,2332,le
129,6,1562,both
129,6,2186,none
130,6,2063,heur
130,6,1358.5,le
130,6,1030,both
130,6,1421.5,none
131,6,1114,heur
131,6,1308.5,le
131,6,1069.5,both
131,6,1395,none
132,6,8257.5,heur
132,6,3906,le
132,6,3012,both
132,6,10305.5,none
133,6,1494,heur
133,6,1759,le
133,6,1426,both
133,6,3013.5,none
134,6,1664,heur
134,6,1412,le
134,6,1196,both
134,6,2238.5,none
135,6,1176,heur
135,6,1042,le
135,6,932,both
135,6,1515,none
136,6,1763,heur
136,6,1456.5,le
136,6,1292,both
136,6,3475,none
137,6,1880,heur
137,6,1177,le
137,6,1122,both
137,6,1760,none
138,6,1514,heur
138,6,2049.5,le
138,6,1426,both
138,6,1855.5,none
