subject,exp_num,score,modality
18,1,0.602272727272727,NO
18,1,0.352272727272727,BO
19,1,0.0340909090909091,HE
19,1,0.0113636363636364,LE
19,1,0.511363636363636,NO
19,1,0.443181818181818,BO
20,1,0.0681818181818182,HE
20,1,0.0113636363636364,LE
20,1,0.852272727272727,NO
20,1,0.0681818181818182,BO
21,1,0.204545454545455,HE
21,1,0.0227272727272727,LE
21,1,0.761363636363636,NO
21,1,0.0113636363636364,BO
22,1,0.215909090909091,HE
22,1,0.0227272727272727,LE
22,1,0.670454545454545,NO
22,1,0.0909090909090909,BO
23,1,0.181818181818182,HE
23,1,0.0113636363636364,LE
23,1,0.806818181818182,NO
23,1,0,BO
24,1,0.238636363636364,HE
24,1,0.0113636363636364,LE
24,1,0.75,NO
24,1,0,BO
25,1,0.0454545454545455,HE
25,1,0,LE
25,1,0.954545454545455,NO
25,1,0,BO
26,1,0.0227272727272727,HE
26,1,0.0681818181818182,LE
26,1,0.647727272727273,NO
26,1,0.261363636363636,BO
27,1,0.0909090909090909,HE
27,1,0.0227272727272727,LE
27,1,0.818181818181818,NO
27,1,0.0681818181818182,BO
28,1,0.0454545454545455,HE
28,1,0.0113636363636364,LE
28,1,0.852272727272727,NO
28,1,0.0909090909090909,BO
29,1,0.181818181818182,HE
29,1,0.0681818181818182,LE
29,1,0.659090909090909,NO
29,1,0.0909090909090909,BO
30,1,0.0454545454545455,HE
30,1,0.102272727272727,LE
30,1,0.727272727272727,NO
30,1,0.125,BO
31,1,0.0340909090909091,HE
31,1,0.0113636363636364,LE
31,1,0.886363636363636,NO
31,1,0.0681818181818182,BO
32,1,0.0454545454545455,HE
32,1,0,LE
32,1,0.897727272727273,NO
32,1,0.0568181818181818,BO
33,1,0.284090909090909,HE
33,1,0.0340909090909091,LE
33,1,0.659090909090909,NO
33,1,0.0227272727272727,BO
34,1,0.0909090909090909,HE
34,1,0.0113636363636364,LE
34,1,0.897727272727273,NO
34,1,0,BO
35,1,0.0909090909090909,HE
35,1,0,LE
35,1,0.909090909090909,NO
35,1,0,BO
36,1,0.0681818181818182,HE
36,1,0.0795454545454545,LE
36,1,0.795454545454545,NO
36,1,0.0568181818181818,BO
37,1,0.102272727272727,HE
37,1,0.125,LE
37,1,0.727272727272727,NO
37,1,0.0454545454545455,BO
38,1,0.136363636363636,HE
38,1,0.0113636363636364,LE
38,1,0.818181818181818,NO
38,1,0.0340909090909091,BO
39,1,0.113636363636364,HE
39,1,0.0113636363636364,LE
39,1,0.863636363636364,NO
39,1,0.0113636363636364,BO
40,1,0.102272727272727,HE
40,1,0.0113636363636364,LE
40,1,0.886363636363636,NO
40,1,0,BO
41,1,0.102272727272727,HE
41,1,0.0227272727272727,LE
41,1,0.704545454545455,NO
41,1,0.170454545454545,BO
42,1,0.0113636363636364,HE
42,1,0.0795454545454545,LE
42,1,0.795454545454545,NO
42,1,0.113636363636364,BO
43,1,0.0340909090909091,HE
43,1,0.102272727272727,LE
43,1,0.75,NO
43,1,0.113636363636364,BO
44,1,0.0909090909090909,HE
44,1,0.113636363636364,LE
44,1,0.431818181818182,NO
44,1,0.363636363636364,BO
45,1,0.0340909090909091,HE
45,1,0.136363636363636,LE
45,1,0.681818181818182,NO
45,1,0.147727272727273,BO
46,1,0.227272727272727,HE
46,1,0.0454545454545455,LE
46,1,0.693181818181818,NO
46,1,0.0340909090909091,BO
47,1,0.0113636363636364,HE
47,1,0.113636363636364,LE
47,1,0.511363636363636,NO
47,1,0.363636363636364,BO
48,1,0.0227272727272727,HE
48,1,0.0454545454545455,LE
48,1,0.863636363636364,NO
48,1,0.0681818181818182,BO
49,1,0.386363636363636,HE
49,1,0.0227272727272727,LE
49,1,0.568181818181818,NO
49,1,0.0227272727272727,BO
50,1,0.193181818181818,HE
50,1,0.0113636363636364,LE
50,1,0.795454545454545,NO
50,1,0,BO
51,1,0.0681818181818182,HE
51,1,0.147727272727273,LE
51,1,0.75,NO
51,1,0.0340909090909091,BO
52,1,0,HE
52,1,0.0454545454545455,LE
52,1,0.840909090909091,NO
52,1,0.113636363636364,BO
53,1,0.125,HE
53,1,0,LE
53,1,0.795454545454545,NO
53,1,0.0795454545454545,BO
54,1,0.0909090909090909,HE
54,1,0.0795454545454545,LE
54,1,0.772727272727273,NO
54,1,0.0568181818181818,BO
55,1,0.227272727272727,HE
55,1,0,LE
55,1,0.761363636363636,NO
55,1,0.0113636363636364,BO
56,1,0.113636363636364,HE
56,1,0.0909090909090909,LE
56,1,0.681818181818182,NO
56,1,0.113636363636364,BO
57,1,0.295454545454545,HE
57,1,0.0227272727272727,LE
57,1,0.670454545454545,NO
57,1,0.0113636363636364,BO
58,1,0.147727272727273,HE
58,1,0.102272727272727,LE
58,1,0.670454545454545,NO
58,1,0.0795454545454545,BO
59,1,0.0909090909090909,HE
59,1,0.0681818181818182,LE
59,1,0.761363636363636,NO
59,1,0.0795454545454545,BO
60,1,0.0454545454545455,HE
60,1,0,LE
60,1,0.954545454545455,NO
60,1,0,BO
61,1,0,HE
61,1,0.227272727272727,LE
61,1,0.534090909090909,NO
61,1,0.238636363636364,BO
62,1,0.136363636363636,HE
62,1,0.0227272727272727,LE
62,1,0.818181818181818,NO
62,1,0.0227272727272727,BO
63,1,0.0227272727272727,HE
63,1,0.170454545454545,LE
63,1,0.647727272727273,NO
63,1,0.159090909090909,BO
64,1,0.238636363636364,HE
64,1,0.0568181818181818,LE
64,1,0.613636363636364,NO
64,1,0.0909090909090909,BO
65,1,0.0113636363636364,HE
65,1,0.0340909090909091,LE
65,1,0.852272727272727,NO
65,1,0.102272727272727,BO
66,1,0.125,HE
66,1,0.0340909090909091,LE
66,1,0.772727272727273,NO
66,1,0.0681818181818182,BO
67,1,0.102272727272727,HE
67,1,0.0113636363636364,LE
67,1,0.886363636363636,NO
67,1,0,BO
68,1,0.397727272727273,HE
68,1,0,LE
68,1,0.602272727272727,NO
68,1,0,BO
69,1,0.0909090909090909,HE
69,1,0.0340909090909091,LE
69,1,0.852272727272727,NO
69,1,0.0227272727272727,BO
70,1,0.0454545454545455,HE
70,1,0.0568181818181818,LE
