value,split,exp_num
1.08353660458125,poor,1
0.300028341684556,poor,2
1.07344232433499,poor,4
0.299666580383265,poor,2
0.0884305777521785,poor,4
-0.00743826132049034,poor,3
0.847893677045393,poor,4
0.490419804246335,poor,3
-0.146897938059077,poor,4
0.333336681395992,poor,1
0.53333332791922,poor,2
0.0213806958681501,poor,3
0.5170025903183,poor,5
0.145505280356487,poor,4
0.337400951033345,poor,6
-0.0628880938364848,poor,2
-0.048744423764442,poor,2
-0.00743826132049034,poor,3
0.283368503252994,poor,1
-0.0166844088919727,poor,1
0.0666706953379627,poor,2
-0.0333299972892057,poor,1
-0.0163664558724066,poor,2
6.07031175967198e-09,poor,2
0.0503481268811484,poor,5
-0.0219918414139529,poor,7
0.333170919532957,poor,3
-0.0667180186447808,poor,2
-0.0500030004821866,poor,6
0.0500004993011115,poor,3
0.0646168842558732,poor,2
-0.116122818481434,poor,5
-0.100000016416527,poor,1
0.00112018430326276,poor,4
0.496426918500988,poor,2
-0.116666581643854,poor,6
0.70356055015896,poor,1
0.0177892870210962,poor,2
0.116666691673172,poor,3
0.433336682296684,poor,6
0.316666717799379,poor,2
-0.033338012151289,poor,2
-0.0333224366628493,poor,2
0.0833555552491874,poor,1
0.0737735556676711,poor,3
0.200000000069324,poor,3
0.133577644580477,poor,6
0.683585068331326,poor,1
0.307615664791802,poor,4
6.63597503323304e-09,poor,7
-5.47390981044481e-09,poor,4
-0.302946331626534,poor,4
1.08392876389488,poor,3
1.72906766066527e-06,poor,4
6.25096772893124e-08,poor,6
0.885046743200466,poor,4
0.692740767003789,poor,1
0.0761942673375083,poor,5
-0.0934284712033981,poor,4
-0.0166666683258367,poor,3
0.112850711430732,poor,3
0.0333333487216359,poor,1
-2.26171128375378e-09,poor,3
0.0666669662712277,poor,2
0.0670981484669659,poor,1
1.0002007362108,poor,6
0.434618664919874,poor,5
0.23532529546191,poor,4
0.150000003047875,poor,6
1.72906766066527e-06,poor,4
0.0753518242160635,poor,1
-0.099994824402565,poor,5
0.0166419436935331,poor,5
0.471204222225374,poor,7
-0.048744423764442,poor,6
0.0833132785346776,poor,2
1.35655317627491,poor,1
0.184389103779569,poor,3
0.0499294290043254,poor,2
0.0499627747082716,poor,5
-0.00743826132049034,poor,6
0.450004196898937,poor,6
0.935889476634628,poor,5
0.715495191946484,poor,3
-5.47390981044481e-09,poor,4
6.63597503323304e-09,poor,7
0.401212111262641,poor,7
-5.47390981044481e-09,poor,4
0.24411787212503,poor,7
0.0333637149255256,poor,5
-0.0666713920769737,poor,3
0.116701813520596,poor,2
-0.233459538764755,poor,5
0.333371462611966,poor,6
0.352096945618183,poor,7
0.550003350808167,poor,5
0.0795576107310791,poor,2
0.050076590672537,poor,5
0.68248795323957,poor,3
-0.234064317278207,poor,2
-0.237268065503156,poor,4
0.250001718271448,poor,3
0.586319196442395,poor,7
0.676487650216494,poor,4
-0.018166108397435,poor,2
-0.0166667275260159,poor,1
0.043110408871046,poor,7
0.340566973407937,poor,7
0.349357922919768,poor,5
0.132444830849944,poor,1
-0.00743826132049034,poor,5
0.276076138236096,poor,3
-0.00743826132049034,poor,5
0.0666669500015099,poor,5
0.117671137528493,poor,4
0.48453607380419,poor,2
0.383334264454238,poor,5
-0.10014267261068,poor,2
0.0833333341559138,poor,5
0.383340918080434,poor,5
0.200000364639668,poor,5
0.620167504063238,poor,1
0.424292651856134,poor,3
0.0666666370859671,poor,1
0.668301698652889,poor,5
0.616744431410818,poor,3
0.571102202374999,poor,6
0.740972939484716,poor,6
-0.0132020384925552,poor,2
0.445353307530602,poor,6
0.38718892415759,poor,6
0.218398900665399,poor,5
0.450034843991023,poor,6
0.935770813097473,poor,7
0.394315294470194,poor,1
0.442463279917567,poor,4
1.04038582315001,poor,5
0.882603626889765,poor,4
0.815113685450011,poor,6
0.266966508978715,poor,1
0.892156677774603,poor,5
-0.0500001844449118,poor,2
0.855632894471608,poor,4
-0.00743826132049034,poor,6
0.617159989312253,poor,3
0.0635551387914855,poor,7
-1.13417863393089e-06,poor,6
0.936357783737118,poor,4
0.470802405523369,poor,4
-0.0499999950681194,poor,6
0.333336768611614,poor,5
-0.0153129271070557,poor,5
0.250182197230427,poor,2
-1.13417863393089e-06,poor,6
0.0213806958681501,poor,2
-0.0174829374046818,poor,5
0.016661755053165,poor,3
-5.47390981044481e-09,poor,4
6.63597503323304e-09,poor,7
0.295837311879162,poor,4
0.066680287240059,poor,6
0.403203060960921,poor,6
0.402208940004543,good,7
6.63597503323304e-09,good,7
-0.048744423764442,good,2
-0.109700901673779,good,7
0.0347697324215091,good,3
6.25096772893124e-08,good,3
-1.63795676258979e-06,good,5
0.283609392024977,good,5
-0.0166772996108774,good,3
-0.0160148014672999,good,7
0.143245420905415,good,7
-5.47390981044481e-09,good,4
0.0339511814664785,good,3
0.000219306929562176,good,6
0.233815738298969,good,3
0.116685717083386,good,6
-0.00151745694107312,good,7
0.301658906912332,good,6
0.0999933231047877,good,1
0.117778975622573,good,4
0.490587892053843,good,7
-0.00743826132049034,good,2
0.366666693353502,good,6
0.250020230081357,good,6
0.0398384771046902,good,1
0.570495052066693,good,4
0.770485315828584,good,2
0.0333335636319839,good,3
0.176369864457223,good,4
0.80957766172023,good,7
0.263450322596999,good,4
-0.00743826132049034,good,3
-0.0960504090034544,good,2
0.216795417839309,good,1
-0.0038240813400018,good,4
0.0865099434442036,good,7
0.66675634895218,good,3
0.316858306219537,good,5
-0.116921971620061,good,3
0.704593938785713,good,3
0.316712148335034,good,5
0.0167546190313473,good,1
0.612955516301675,good,5
1.13358740267703,good,4
1.04070091844,good,4
0.0342460020192315,good,6
0.823663299672937,good,4
1.08664475926092,good,3
0.824663114704035,good,3
0.296475874707241,good,3
